station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40370,Washington/Dearborn,2/1/2001,8890.6,2275.5,1379,192430
40790,Monroe/Dearborn,2/1/2001,5945.8,1102.3,652.3,125934
40070,Jackson/Dearborn,2/1/2001,7392.2,1903.5,1041.3,159623
41340,LaSalle,2/1/2001,2208.6,354.3,191.5,46354
40430,Clinton-Forest Park,2/1/2001,2278.2,744.5,648.5,51136
40350,UIC-Halsted,2/1/2001,4405.3,963,598.8,94352
40470,Racine,2/1/2001,2242.7,768.5,425,49627
40810,Medical Center,2/1/2001,1969.9,987.5,613,45799
40220,Western-Forest Park,2/1/2001,991.9,635.3,422.3,24067
40250,Kedzie-Homan-Forest Park,2/1/2001,1297.6,853.8,564,31622
40920,Pulaski-Forest Park,2/1/2001,1215.2,797,611.3,29937
40970,Cicero-Forest Park,2/1/2001,1044.3,692,493.5,25627
40010,Austin-Forest Park,2/1/2001,1527.8,639.5,400.3,34714
40180,Oak Park-Forest Park,2/1/2001,1394.1,392.3,233.3,30384
40980,Harlem-Forest Park,2/1/2001,802.3,390.3,276.3,18711
40390,Forest Park,2/1/2001,3568.1,1183.5,771.3,79180
41030,Polk,2/1/2001,2298.3,4,0.5,45983
40830,18th,2/1/2001,997.6,0.8,0,19955
40210,Damen-Cermak,2/1/2001,671,0.3,0,13421
40740,Western-Cermak,2/1/2001,548.7,3,0,10986
40440,California-Cermak,2/1/2001,797.7,0.5,0,15955
41040,Kedzie-Cermak,2/1/2001,441.3,1.8,0,8833
40780,Central Park,2/1/2001,455.9,2,0,9126
40150,Pulaski-Cermak,2/1/2001,473.9,1.5,0,9484
40600,Kostner,2/1/2001,314.3,0.3,0,6286
40420,Cicero-Cermak,2/1/2001,883,3.5,0,17673
40580,54th/Cermak,2/1/2001,1587.4,7,0,31776
40020,Harlem-Lake,2/1/2001,3288.3,1563.5,926.3,75724
41350,Oak Park-Lake,2/1/2001,1382,499,331.8,30962
40610,Ridgeland,2/1/2001,1282.2,368.3,206.3,27942
41260,Austin-Lake,2/1/2001,1902.5,877.5,533.8,43695
40280,Central-Lake,2/1/2001,2372.6,1238.5,848.3,55799
40700,Laramie,2/1/2001,1335.8,631.8,403.5,30856
40480,Cicero-Lake,2/1/2001,1322.9,679,452.8,30985
40030,Pulaski-Lake,2/1/2001,1530.6,876.5,618.3,36591
41070,Kedzie-Lake,2/1/2001,1225.5,610.8,433,28685
41360,California-Lake,2/1/2001,792.9,375.5,284.3,18497
40170,Ashland-Lake,2/1/2001,1458,547,360.8,32791
